OGC_FID,status,licensetype,issuedate,premisesaddress,x,y,business
1,ACTIVE,51,1951-07-20T,"1215 EL CARMEL PL, SAN DIEGO, CA  92109",6254804.29475,1864266.24383,
2,ACTIVE,41,1978-06-05T,"9349 MIRA MESA BLVD, SAN DIEGO, CA  92126",6293628.59978,1914460.91829,Capriccio Italian Restaurant
3,ACTIVE,21,1964-08-18T,"3744 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",6295956.46286,1836127.88794,Ocean View Liquor
4,ACTIVE,21,1978-01-01T,"3515 UNIVERSITY AVE, SAN DIEGO, CA  92104",6294905.46483,1853601.89491,Market Place The
5,ACTIVE,48,1977-05-18T,"1833 GARNET AVE, SAN DIEGO, CA  92109",6258595.20892,1872475.61267,Silver Fox Associates Inc
6,ACTIVE,21,1971-06-17T,"3787 INGRAHAM ST, SAN DIEGO, CA  92109",6258287.44626,1868131.15513,Crest
7,ACTIVE,21,1979-08-20T,"4210 MARKET ST, SAN DIEGO, CA  92102",6298837.55796,1839817.21672,
8,ACTIVE,21,1973-01-22T,"110 NATIONAL CITY BLVD, NATIONAL CITY, CA  91950",6300780.96722,1817985.40426,One Ten Liquor & Market
9,ACTIVE,47,1977-07-01T,"3263 CAMINO DEL MAR, DEL MAR, CA  92014",-1,-1,
10,ACTIVE,51,1967-07-01T,"3638 OCEAN VIEW BLVD, SAN DIEGO, CA  92113",6295266.30849,1836126.14478,Fra Club 62
11,ACTIVE,51,1968-08-07T,"25721 JESMOND DENE RD, ESCONDIDO, CA  92026",6302753.565,2006547.618,Moose Lodge Escondido 1874
12,ACTIVE,21,1964-12-15T,"302 W MISSION AVE, ESCONDIDO, CA  92025",6304558.57996,1991720.59709,Holiday Wine Cellar
13,ACTIVE,52,1967-09-11T,"210 W F ST, ENCINITAS, CA  92024",6241515.63653,1961032.15049,American Legion Post 416
14,ACTIVE,57,1965-11-24T,"3848 CENTRE ST, SAN DIEGO, CA  92103",6285387.84862,1853174.57455,Eagles Lodge San Diego Aerie 244
15,ACTIVE,47,1952-09-12T,"6 HENSLEY ST, SAN DIEGO, CA  92102",6289474.78048,1837636.86096,
16,ACTIVE,47,1978-01-01T,"15500 SAN PASQUAL VALLEY RD, SAN DIEGO, CA  92027",6331094.32675,1980549.44125,San Diego Zoo Safari Park
17,ACTIVE,51,1965-04-21T,"2606 N MISSION BAY DR, SAN DIEGO, CA  92109",6263487.90909,1871599.39394,San Diego Mission Bay Boat & Ski Club
18,ACTIVE,47,1979-01-05T,"477 CAMINO DEL RIO S, SAN DIEGO, CA  92108",-1,-1,
19,ACTIVE,21,1975-10-01T,"8985 MIRA MESA BLVD, SAN DIEGO, CA  92126",6291582.09813,1913426.90104,Rite Aid Store 5661
20,ACTIVE,52,1977-11-01T,"123 PALM AVE, IMPERIAL BEACH, CA  91932",6316375.5,1796701.33333,Veterans Of Foreign Wars
21,ACTIVE,51,1951-06-15T,"2017-19 S COAST HWY, OCEANSIDE, CA  92054",6213290.706,2019279.806,Loyal Order Of Moose 1325
22,ACTIVE,51,1966-10-11T,"444 COUNTRY CLUB LN, OCEANSIDE, CA  92054",6220723.96963,2017827.51348,Oceanside Elks Lodge 1561
23,ACTIVE,47,1978-01-01T,"7252 BROADWAY, LEMON GROVE, CA  91945",6318271.77734,1850994.42066,
24,ACTIVE,41,1979-05-07T,"2622 EL CAMINO REAL, STE B, CARLSBAD, CA  92008",6261019.797,1936914.786,That Pizza Place
25,ACTIVE,51,1977-03-01T,"12280 GREENS EAST RD, SAN DIEGO, CA  92128",6312376.85567,1957137.03336,Country Club Of Rancho Bernardo The
26,ACTIVE,51,1963-06-14T,"1393 WINDSOR RD, ENCINITAS, CA  92007",6248100.69419,1957088.13093,Elks Lodge Encinitas 2243
